"X1","X2"
"1",1,3
"2",1,6
"3",3,6
"4",4,6
"5",2,9
"6",8,9
"7",3,10
"8",6,10
"9",3,11
"10",6,11
"11",8,13
"12",11,15
"13",14,15
"14",2,16
"15",2,17
"16",14,18
"17",4,19
"18",7,19
"19",17,20
"20",5,21
"21",20,22
"22",1,23
"23",11,24
"24",18,24
"25",20,24
"26",13,26
"27",22,26
"28",21,27
"29",23,28
"30",6,29
"31",11,29
"32",27,29
"33",15,30
"34",17,30
"35",19,30
"36",5,31
"37",7,31
"38",13,31
"39",19,31
"40",17,32
"41",25,32
"42",4,33
"43",12,33
"44",23,33
"45",16,34
"46",6,35
"47",2,36
"48",23,36
"49",34,36
"50",2,37
"51",4,37
"52",9,37
"53",32,37
"54",1,38
"55",18,38
"56",20,38
"57",31,38
"58",5,39
"59",23,39
"60",13,40
"61",21,41
"62",36,41
"63",8,42
"64",9,42
"65",12,42
"66",16,42
"67",1,43
"68",2,43
"69",13,43
"70",17,43
"71",24,43
"72",30,43
"73",33,43
"74",1,44
"75",2,44
"76",11,44
"77",29,44
"78",5,45
"79",6,45
"80",11,45
"81",12,45
"82",2,46
"83",6,46
"84",32,46
"85",12,47
"86",36,47
"87",37,47
"88",40,47
"89",19,48
"90",39,48
"91",46,48
"92",47,48
"93",10,49
"94",30,49
"95",33,50
"96",45,50
"97",7,51
"98",32,51
"99",46,51
"100",47,51
"101",20,52
"102",24,52
"103",32,52
"104",35,52
"105",39,52
"106",40,52
"107",44,52
"108",6,53
"109",5,55
"110",14,55
"111",26,55
"112",29,55
"113",35,55
"114",39,55
"115",42,55
"116",52,55
"117",17,56
"118",28,56
"119",31,56
"120",4,57
"121",6,57
"122",10,57
"123",19,57
"124",22,57
"125",33,57
"126",38,57
"127",42,57
"128",43,57
"129",1,58
"130",21,58
"131",25,58
"132",57,58
"133",41,59
"134",53,59
"135",54,59
"136",24,60
"137",28,60
"138",35,60
"139",39,60
"140",42,60
"141",50,60
"142",8,61
"143",21,61
"144",30,61
"145",40,61
"146",43,61
"147",44,61
"148",45,61
"149",48,61
"150",53,61
"151",54,61
"152",56,61
"153",59,61
"154",9,62
"155",15,62
"156",28,62
"157",31,62
"158",32,62
"159",11,63
"160",27,63
"161",36,63
"162",43,63
"163",47,63
"164",21,64
"165",23,64
"166",27,64
"167",28,64
"168",31,64
"169",33,64
"170",37,64
"171",4,65
"172",7,65
"173",13,65
"174",15,65
"175",20,65
"176",26,65
"177",27,65
"178",37,65
"179",42,65
"180",40,66
"181",48,66
"182",58,66
"183",14,67
"184",16,67
"185",25,67
"186",32,67
"187",41,67
"188",58,67
"189",61,67
"190",63,67
"191",9,68
"192",25,68
"193",33,68
"194",61,68
"195",38,69
"196",40,69
"197",43,69
"198",44,69
"199",6,70
"200",12,70
"201",66,70
"202",15,71
"203",26,71
"204",29,71
"205",40,71
"206",60,71
"207",70,71
"208",6,72
"209",11,72
"210",19,72
"211",31,72
"212",32,72
"213",53,72
"214",58,72
"215",60,72
"216",5,73
"217",6,73
"218",7,73
"219",13,73
"220",27,73
"221",32,73
"222",42,73
"223",45,73
"224",47,73
"225",70,73
"226",72,73
"227",5,74
"228",22,74
"229",32,74
"230",34,74
"231",52,74
"232",73,74
"233",6,75
"234",10,75
"235",46,75
"236",63,75
"237",66,75
"238",6,76
"239",48,76
"240",56,76
"241",61,76
"242",66,76
"243",9,77
"244",30,77
"245",31,77
"246",46,77
"247",56,77
"248",66,77
"249",4,78
"250",5,78
"251",8,78
"252",29,78
"253",34,78
"254",38,78
"255",45,78
"256",50,78
"257",68,78
"258",7,79
"259",9,79
"260",14,79
"261",27,79
"262",33,79
"263",43,79
"264",50,79
"265",76,79
"266",9,80
"267",36,80
"268",76,80
"269",11,81
"270",38,81
"271",45,81
"272",61,81
"273",74,81
"274",79,81
"275",14,82
"276",26,82
"277",34,82
"278",39,82
"279",40,82
"280",47,82
"281",48,82
"282",49,82
"283",55,82
"284",72,82
"285",78,82
"286",3,83
"287",18,83
"288",27,83
"289",30,83
"290",59,83
"291",61,83
"292",64,83
"293",76,83
"294",79,83
"295",3,84
"296",5,84
"297",11,84
"298",55,84
"299",60,84
"300",61,84
"301",2,85
"302",7,85
"303",71,85
"304",8,86
"305",11,86
"306",15,86
"307",19,86
"308",37,86
"309",38,86
"310",39,86
"311",41,86
"312",51,86
"313",53,86
"314",57,86
"315",62,86
"316",65,86
"317",83,86
"318",8,87
"319",14,87
"320",36,87
"321",41,87
"322",53,87
"323",63,87
"324",64,87
"325",81,87
"326",7,88
"327",10,88
"328",16,88
"329",21,88
"330",28,88
"331",32,88
"332",37,88
"333",41,88
"334",56,88
"335",58,88
"336",78,88
"337",28,89
"338",37,89
"339",38,89
"340",49,89
"341",79,89
"342",82,89
"343",3,90
"344",9,90
"345",15,90
"346",16,90
"347",19,90
"348",29,90
"349",31,90
"350",76,90
"351",80,90
"352",2,91
"353",39,91
"354",57,91
"355",65,91
"356",68,91
"357",89,91
"358",32,92
"359",40,92
"360",75,92
"361",87,92
"362",6,93
"363",13,93
"364",27,93
"365",33,93
"366",36,93
"367",55,93
"368",65,93
"369",29,94
"370",57,94
"371",78,94
"372",91,94
"373",23,95
"374",59,95
"375",68,95
"376",9,96
"377",21,96
"378",41,96
"379",67,96
"380",68,96
"381",90,96
"382",1,97
"383",6,97
"384",7,97
"385",24,97
"386",41,97
"387",44,97
"388",46,97
"389",90,97
"390",96,97
"391",20,98
"392",41,98
"393",59,98
"394",69,98
"395",75,98
"396",88,98
"397",18,99
"398",25,99
"399",30,99
"400",32,99
"401",35,99
"402",45,99
"403",68,99
"404",70,99
"405",9,100
"406",19,100
"407",42,100
"408",50,100
"409",62,100
"410",77,100
"411",93,100
"412",95,100
"413",13,101
"414",18,101
"415",45,101
"416",48,101
"417",63,101
"418",74,101
"419",9,102
"420",36,102
"421",77,102
"422",85,102
"423",93,102
"424",100,102
"425",10,103
"426",27,103
"427",30,103
"428",38,103
"429",53,103
"430",60,103
"431",85,103
"432",91,103
"433",65,104
"434",71,104
"435",75,104
"436",78,104
"437",84,104
"438",95,104
"439",96,104
"440",2,105
"441",6,105
"442",10,105
"443",31,105
"444",33,105
"445",37,105
"446",58,105
"447",60,105
"448",92,105
"449",93,105
"450",104,105
"451",47,106
"452",53,106
"453",60,106
"454",64,106
"455",67,106
"456",100,106
"457",3,107
"458",20,107
"459",24,107
"460",67,107
"461",73,107
"462",80,107
"463",82,107
"464",101,107
"465",103,107
"466",14,108
"467",21,108
"468",36,108
"469",52,108
"470",58,108
"471",65,108
"472",70,108
"473",83,108
"474",86,108
"475",96,108
"476",100,108
"477",6,109
"478",7,109
"479",21,109
"480",86,109
"481",87,109
"482",10,110
"483",18,110
"484",25,110
"485",30,110
"486",31,110
"487",50,110
"488",55,110
"489",59,110
"490",60,110
"491",70,110
"492",89,110
"493",17,111
"494",18,111
"495",27,111
"496",41,111
"497",52,111
"498",96,111
"499",103,111
"500",9,112
"501",21,112
"502",38,112
"503",42,112
"504",56,112
"505",64,112
"506",71,112
"507",79,112
"508",82,112
"509",91,112
"510",94,112
"511",19,113
"512",44,113
"513",48,113
"514",53,113
"515",61,113
"516",66,113
"517",68,113
"518",69,113
"519",78,113
"520",88,113
"521",96,113
"522",3,114
"523",4,114
"524",21,114
"525",26,114
"526",28,114
"527",41,114
"528",48,114
"529",50,114
"530",52,114
"531",62,114
"532",67,114
"533",79,114
"534",89,114
"535",96,114
"536",109,114
"537",14,115
"538",17,115
"539",46,115
"540",68,115
"541",69,115
"542",95,115
"543",33,116
"544",50,116
"545",51,116
"546",52,116
"547",85,116
"548",104,116
"549",15,117
"550",55,117
"551",58,117
"552",63,117
"553",69,117
"554",111,117
"555",2,118
"556",12,118
"557",52,118
"558",57,118
"559",74,118
"560",85,118
"561",88,118
"562",108,118
"563",20,119
"564",21,119
"565",42,119
"566",50,119
"567",73,119
"568",76,119
"569",87,119
"570",106,119
"571",117,119
"572",5,120
"573",10,120
"574",30,120
"575",50,120
"576",57,120
"577",69,120
"578",71,120
"579",84,120
"580",86,120
"581",92,120
"582",114,120
"583",116,120
"584",118,120
"585",5,121
"586",8,121
"587",9,121
"588",21,121
"589",23,121
"590",45,121
"591",55,121
"592",117,121
"593",5,122
"594",7,122
"595",26,122
"596",36,122
"597",63,122
"598",69,122
"599",80,122
"600",112,122
"601",2,123
"602",4,123
"603",14,123
"604",16,123
"605",19,123
"606",39,123
"607",43,123
"608",47,123
"609",72,123
"610",78,123
"611",89,123
